Item,Condition,Sentence,Target,score,tscore,tok_scores
1,masculine-neu,Klicke auf sein,sein,7.167531967163086,9.491762161254883,"[('Klicke', 10.11137580871582), ('auf', 0.9867162704467773), ('sein', 9.491762161254883)]"
1,masculine-fem,Klicke auf seine,seine ,7.456064701080322,10.264538764953613,"[('Klicke', 10.11137580871582), ('auf', 0.9867162704467773), ('seine', 10.264538764953613)]"
1,masculine-masc,Klicke auf seinen,seinen ,7.4867706298828125,9.992559432983398,"[('Klicke', 10.11137580871582), ('auf', 0.9867162704467773), ('seinen', 9.992559432983398)]"
2,feminine-neu,Klicke auf ihr,ihr ,7.650230407714844,10.338835716247559,"[('Klicke', 10.11137580871582), ('auf', 0.9867162704467773), ('ihr', 10.338835716247559)]"
2,feminine-fem,Klicke auf ihre,ihre ,7.476032733917236,10.015950202941895,"[('Klicke', 10.11137580871582), ('auf', 0.9867162704467773), ('ihre', 10.015950202941895)]"
2,feminine-masc,Klicke auf ihren,ihren,7.393630027770996,9.771415710449219,"[('Klicke', 10.11137580871582), ('auf', 0.9867162704467773), ('ihren', 9.771415710449219)]"
3,determiner-neu,Klicke auf ein,ein,6.163246154785156,3.8623132705688477,"[('Klicke', 10.11137580871582), ('auf', 0.9867162704467773), ('ein', 3.8623132705688477)]"
3,determiner-fem,Klicke auf eine,eine,6.25824499130249,3.537215232849121,"[('Klicke', 10.11137580871582), ('auf', 0.9867162704467773), ('eine', 3.537215232849121)]"
3,determiner-masc,Klicke auf einen,einen,5.985980987548828,3.0475196838378906,"[('Klicke', 10.11137580871582), ('auf', 0.9867162704467773), ('einen', 3.0475196838378906)]"
